IND : [100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
SA  : [0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
AUS : [0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NZ  : [0.0, 0.0, 0.0, 75.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0]
AFG : [0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0]
PAK : [0.0, 0.0, 0.0, 25.0, 75.0, 0.0, 0.0, 0.0, 0.0, 0.0]
BAN : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0]
SL  : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 25.0, 50.0, 0.0]
ENG : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.0, 25.0, 0.0, 0.0]
NED : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]
