IND : [62.5, 37.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
SA  : [37.5, 59.38, 3.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
AUS : [0.0, 3.12, 65.62, 17.19, 12.5, 1.56, 0.0, 0.0, 0.0, 0.0]
NZ  : [0.0, 0.0, 15.62, 53.12, 21.88, 9.38, 0.0, 0.0, 0.0, 0.0]
AFG : [0.0, 0.0, 14.84, 19.53, 41.41, 24.22, 0.0, 0.0, 0.0, 0.0]
PAK : [0.0, 0.0, 0.78, 10.16, 24.22, 49.22, 12.5, 3.12, 0.0, 0.0]
BAN : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.34, 11.72, 38.28, 47.66]
SL  : [0.0, 0.0, 0.0, 0.0, 0.0, 6.25, 50.78, 27.34, 11.72, 3.91]
ENG : [0.0, 0.0, 0.0, 0.0, 0.0, 4.69, 7.81, 14.06, 29.69, 43.75]
NED : [0.0, 0.0, 0.0, 0.0, 0.0, 4.69, 26.56, 43.75, 20.31, 4.69]
