IND : [62.44, 37.56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
SA  : [37.56, 59.36, 3.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
AUS : [0.0, 3.09, 71.88, 15.5, 6.37, 3.16, 0.0, 0.0, 0.0, 0.0]
NZ  : [0.0, 0.0, 3.19, 43.94, 34.12, 18.74, 0.0, 0.0, 0.0, 0.0]
AFG : [0.0, 0.0, 20.31, 20.23, 23.4, 36.06, 0.0, 0.0, 0.0, 0.0]
PAK : [0.0, 0.0, 1.53, 20.32, 36.11, 42.04, 0.0, 0.0, 0.0, 0.0]
BAN : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.29, 11.71, 38.13, 47.88]
SL  : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 56.89, 27.45, 11.8, 3.86]
ENG : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.14, 15.57, 29.59, 43.69]
NED : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 29.68, 45.28, 20.48, 4.57]
