IND : [62.54, 37.46, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
SA  : [37.46, 56.32, 6.22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
AUS : [0.0, 6.22, 81.17, 12.61, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NZ  : [0.0, 0.0, 0.0, 43.85, 37.39, 18.76, 0.0, 0.0, 0.0, 0.0]
AFG : [0.0, 0.0, 12.61, 24.82, 25.14, 37.44, 0.0, 0.0, 0.0, 0.0]
PAK : [0.0, 0.0, 0.0, 18.73, 37.47, 43.8, 0.0, 0.0, 0.0, 0.0]
BAN : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.17, 12.43, 53.14, 31.26]
SL  : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1, 23.38, 10.98, 1.54]
ENG : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.58, 10.93, 23.44, 64.05]
NED : [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 31.15, 53.25, 12.44, 3.15]
